Format,Type,team_name,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Offensive,Strength,Kalamazoo,229,Thomas_Cook,1.1875,5.5625,0.528,Transition,0.083,0.667,1
Offensive,Strength,Kalamazoo,229,Thomas_Cook,1.1875,5.5625,0.528,Offensive Rebounds (put backs),0.139,0.6,0.333
Offensive,Strength,MSOE,165,Tegan_Miles,10.38461538,27.38461538,0.989,Isolation,0.015,1,0.667
Offensive,Strength,MSOE,165,Tegan_Miles,10.38461538,27.38461538,0.989,Cut,0.198,1.333,0.762
Offensive,Strength,MSOE,165,Tegan_Miles,10.38461538,27.38461538,0.989,Offensive Rebounds (put backs),0.077,1.286,0.733
Offensive,Strength,Rose-Hulman,297,Taylor_Heil,1,3.5,0.8,Offensive Rebounds (put backs),0.2,2,
Offensive,Strength,Rose-Hulman,297,Taylor_Heil,1,3.5,0.8,Spot Up,0.2,2,1
Offensive,Strength,Roosevelt,178,Tariq_Archibald,2,3,1,Transition,0.5,2,1
Offensive,Strength,UWPlatteville,268,Tanner_Hudziak,2.071428571,2.285714286,1.45,Spot Up,0.25,2.2,0.8
Offensive,Strength,UWPlatteville,268,Tanner_Hudziak,2.071428571,2.285714286,1.45,Cut,0.2,1.5,0.75
Offensive,Strength,UWPlatteville,268,Tanner_Hudziak,2.071428571,2.285714286,1.45,P&R Ball Handler,0.1,2.5,1
Offensive,Strength,UWPlatteville,268,Tanner_Hudziak,2.071428571,2.285714286,1.45,Off Screen,0.05,2,1
Offensive,Strength,UWPlatteville,268,Tanner_Hudziak,2.071428571,2.285714286,1.45,Isolation,0.05,3,1
Offensive,Strength,Kalamazoo,228,Tanner_Blyly,9.52,30.2,0.764,P&R Ball Handler,0.242,0.803,0.4
Offensive,Strength,Kalamazoo,228,Tanner_Blyly,9.52,30.2,0.764,Transition,0.159,1.06,0.605
Offensive,Strength,Carthage,31,Steve_Leazer,3.04,16.48,0.685,Transition,0.099,0.909,0.375
Offensive,Strength,Carthage,31,Steve_Leazer,3.04,16.48,0.685,P&R Roll Man,0.099,0.909,0.4
Offensive,Strength,Carthage,31,Steve_Leazer,3.04,16.48,0.685,Miscellaneous,0.099,0.727,
Offensive,Strength,Carthage,31,Steve_Leazer,3.04,16.48,0.685,Cut,0.09,1.2,0.667
Offensive,Strength,Rose-Hulman,296,Stephen_Schueth,5.666666667,24.44444444,0.87,Transition,0.073,0.923,0.333
Offensive,Strength,Rose-Hulman,296,Stephen_Schueth,5.666666667,24.44444444,0.87,Offensive Rebounds (put backs),0.034,1.833,0.833
Offensive,Strength,Rose-Hulman,296,Stephen_Schueth,5.666666667,24.44444444,0.87,P&R Roll Man,0.011,1,0
Offensive,Strength,Rose-Hulman,296,Stephen_Schueth,5.666666667,24.44444444,0.87,Post-Up,0.068,1,0.444
Offensive,Strength,Rose-Hulman,296,Stephen_Schueth,5.666666667,24.44444444,0.87,Spot Up,0.429,0.947,0.343
Offensive,Strength,Rose-Hulman,296,Stephen_Schueth,5.666666667,24.44444444,0.87,Isolation,0.017,1,0.5
Offensive,Strength,EastWest,100,Stanley_Thomas,3,14,0.545,P&R Roll Man,0.182,1,0
Offensive,Strength,EastWest,100,Stanley_Thomas,3,14,0.545,Transition,0.182,2,
Offensive,Strength,GustavusAdolphus,310,Spencer_Tollefson,4.125,16.625,0.737,Hand Off,0.03,0.75,0
Offensive,Strength,GustavusAdolphus,310,Spencer_Tollefson,4.125,16.625,0.737,Off Screen,0.12,0.812,0.357
Offensive,Strength,GustavusAdolphus,310,Spencer_Tollefson,4.125,16.625,0.737,Transition,0.113,0.8,0.571
Offensive,Strength,GustavusAdolphus,310,Spencer_Tollefson,4.125,16.625,0.737,P&R Ball Handler,0.015,1.5,0.5
Offensive,Strength,GustavusAdolphus,310,Spencer_Tollefson,4.125,16.625,0.737,Spot Up,0.331,0.841,0.382
Offensive,Strength,GustavusAdolphus,310,Spencer_Tollefson,4.125,16.625,0.737,Isolation,0.105,0.857,0.455
Offensive,Strength,WheatonIL,208,Spencer_Peterson,4.958333333,14.45833333,0.907,Offensive Rebounds (put backs),0.14,1.278,0.714
Offensive,Strength,WheatonIL,208,Spencer_Peterson,4.958333333,14.45833333,0.907,P&R Roll Man,0.016,1,1
Offensive,Strength,WheatonIL,208,Spencer_Peterson,4.958333333,14.45833333,0.907,Transition,0.116,1.4,0.636
Offensive,Strength,WheatonIL,208,Spencer_Peterson,4.958333333,14.45833333,0.907,Cut,0.116,1.333,0.7
Offensive,Strength,OlivetCollege,283,Sirafino_Davis,2.173913043,13.95652174,0.75,Cut,0.25,0.778,0.4
Offensive,Strength,OlivetCollege,283,Sirafino_Davis,2.173913043,13.95652174,0.75,Spot Up,0.056,1,0.5
Offensive,Strength,OlivetCollege,283,Sirafino_Davis,2.173913043,13.95652174,0.75,Hand Off,0.014,1,
Offensive,Strength,OlivetCollege,283,Sirafino_Davis,2.173913043,13.95652174,0.75,Transition,0.125,1.444,0.833
Offensive,Strength,EastWest,99,Sherman_Carter,15.92857143,22.71428571,0.752,Post-Up,0.024,0.857,0.6
Offensive,Strength,EastWest,99,Sherman_Carter,15.92857143,22.71428571,0.752,Offensive Rebounds (put backs),0.045,0.846,0.444
Offensive,Strength,EastWest,99,Sherman_Carter,15.92857143,22.71428571,0.752,Cut,0.01,1,0.333
Offensive,Strength,EastWest,99,Sherman_Carter,15.92857143,22.71428571,0.752,Transition,0.197,0.895,0.368
Offensive,Strength,EastWest,99,Sherman_Carter,15.92857143,22.71428571,0.752,Hand Off,0.017,1.2,0.333
Offensive,Strength,EastWest,99,Sherman_Carter,15.92857143,22.71428571,0.752,Spot Up,0.334,0.835,0.342
Offensive,Strength,EastWest,98,Sherman_Brown,2.454545455,6.090909091,0.683,Cut,0.171,1.857,1
Offensive,Strength,EastWest,98,Sherman_Brown,2.454545455,6.090909091,0.683,P&R Roll Man,0.049,1,0.5
Offensive,Strength,Knox,135,Sean_Pollock,0.4,2.1,0.667,Cut,0.167,2,1
Offensive,Strength,Knox,135,Sean_Pollock,0.4,2.1,0.667,Transition,0.333,1,1
Offensive,Strength,Carthage,30,Sean_Johnson,3.826086957,15.7826087,0.906,Transition,0.073,1.143,0.8
Offensive,Strength,Carthage,30,Sean_Johnson,3.826086957,15.7826087,0.906,Cut,0.271,1.038,0.563
Offensive,Strength,Carthage,30,Sean_Johnson,3.826086957,15.7826087,0.906,Spot Up,0.021,1,1
Offensive,Strength,Carthage,30,Sean_Johnson,3.826086957,15.7826087,0.906,Offensive Rebounds (put backs),0.219,1.286,0.647
Offensive,Strength,DominicanIL,80,Sean_Ek,2.411764706,13.11764706,0.726,Hand Off,0.048,1.667,0.5
Offensive,Strength,DominicanIL,80,Sean_Ek,2.411764706,13.11764706,0.726,Off Screen,0.016,3,1
Offensive,Strength,DominicanIL,80,Sean_Ek,2.411764706,13.11764706,0.726,P&R Ball Handler,0.274,0.824,0.4
Offensive,Strength,DominicanIL,80,Sean_Ek,2.411764706,13.11764706,0.726,Transition,0.258,0.938,0.667
Offensive,Strength,NorthPark,248,Scott_Olsen,1.590909091,9.590909091,0.7,Transition,0.18,0.778,0.333
Offensive,Strength,NorthPark,248,Scott_Olsen,1.590909091,9.590909091,0.7,Spot Up,0.48,1,0.333
Offensive,Strength,NorthPark,248,Scott_Olsen,1.590909091,9.590909091,0.7,Offensive Rebounds (put backs),0.04,1,0.5
Offensive,Strength,CornellCollege,67,Scott_Gasik,3.5,7,1.167,Offensive Rebounds (put backs),0.111,1.5,1
Offensive,Strength,CornellCollege,67,Scott_Gasik,3.5,7,1.167,Hand Off,0.056,3,1
Offensive,Strength,CornellCollege,67,Scott_Gasik,3.5,7,1.167,Spot Up,0.222,1.5,0.5
Offensive,Strength,CornellCollege,67,Scott_Gasik,3.5,7,1.167,Isolation,0.111,1.5,0.5
Offensive,Strength,GustavusAdolphus,309,Schuyler_Thompson,2.3125,9.3125,0.627,Cut,0.237,0.857,0.545
Offensive,Strength,GustavusAdolphus,309,Schuyler_Thompson,2.3125,9.3125,0.627,Isolation,0.051,0.667,0.333
Offensive,Strength,GustavusAdolphus,309,Schuyler_Thompson,2.3125,9.3125,0.627,Offensive Rebounds (put backs),0.034,1,1
Offensive,Strength,GustavusAdolphus,309,Schuyler_Thompson,2.3125,9.3125,0.627,Transition,0.153,1.111,0.571
Offensive,Strength,EastWest,97,Scherone_Clarke,0.444444444,1.777777778,0.5,Transition,0.227,1,0.5
Offensive,Strength,EastWest,97,Scherone_Clarke,0.444444444,1.777777778,0.5,Post-Up,0.136,0.667,0.5
Offensive,Strength,EastWest,97,Scherone_Clarke,0.444444444,1.777777778,0.5,Cut,0.182,1,0.5
Offensive,Strength,MSOE,164,Sammy_Linn,5.125,12.58333333,0.687,P&R Roll Man,0.056,1.8,0.875
Offensive,Strength,MSOE,164,Sammy_Linn,5.125,12.58333333,0.687,Hand Off,0.006,2,1
Offensive,Strength,MSOE,164,Sammy_Linn,5.125,12.58333333,0.687,Off Screen,0.045,0.75,0.429
Offensive,Strength,MSOE,164,Sammy_Linn,5.125,12.58333333,0.687,Isolation,0.089,1.062,0.667
Offensive,Strength,MSOE,164,Sammy_Linn,5.125,12.58333333,0.687,Offensive Rebounds (put backs),0.061,1,0.571
Offensive,Strength,Chicago,49,Sam_Sustacek,4,10.44,0.962,Offensive Rebounds (put backs),0.163,1.353,0.7
Offensive,Strength,Chicago,49,Sam_Sustacek,4,10.44,0.962,Spot Up,0.087,1.111,0.556
Offensive,Strength,Chicago,49,Sam_Sustacek,4,10.44,0.962,Off Screen,0.01,2,1
Offensive,Strength,Chicago,49,Sam_Sustacek,4,10.44,0.962,Transition,0.087,1.111,0.8
Offensive,Strength,Chicago,49,Sam_Sustacek,4,10.44,0.962,P&R Roll Man,0.067,1.143,0.667
