team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Format,Type,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,15,Robert_Ryan,3.56,18.04,0.659,Hand Off,0.015,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,15,Robert_Ryan,3.56,18.04,0.659,Offensive Rebounds (put backs),0.008,0,
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,14,Quinton_Armstrong,8.434782609,16.91304348,0.961,Miscellaneous,0.059,0.583,
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,14,Quinton_Armstrong,8.434782609,16.91304348,0.961,Off Screen,0.005,0,
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,14,Quinton_Armstrong,8.434782609,16.91304348,0.961,Post-Up,0.441,0.844,0.507
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,14,Quinton_Armstrong,8.434782609,16.91304348,0.961,Spot Up,0.167,0.941,0.406
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,13,Ojani_Echevarria,1.5,8.166666667,0.5,Off Screen,0.167,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,13,Ojani_Echevarria,1.5,8.166666667,0.5,P&R Ball Handler,0.111,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,13,Ojani_Echevarria,1.5,8.166666667,0.5,Miscellaneous,0.167,0,
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,11,Nathaniel_Collins,8.5,19.2,0.941,Off Screen,0.114,0.857,0.4
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,11,Nathaniel_Collins,8.5,19.2,0.941,P&R Ball Handler,0.038,0.571,0.286
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,11,Nathaniel_Collins,8.5,19.2,0.941,Miscellaneous,0.097,0.889,0.333
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,11,Nathaniel_Collins,8.5,19.2,0.941,Offensive Rebounds (put backs),0.016,0.667,0.5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,11,Nathaniel_Collins,8.5,19.2,0.941,Spot Up,0.405,0.827,0.333
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,12,Nathan_Kellum,1.588235294,6.764705882,0.711,Post-Up,0.316,0.583,0.333
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,12,Nathan_Kellum,1.588235294,6.764705882,0.711,Miscellaneous,0.158,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,10,Juwan_Perry,5,11.92857143,0.972,Spot Up,0.514,0.919,0.387
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,10,Juwan_Perry,5,11.92857143,0.972,Miscellaneous,0.014,0,
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,10,Juwan_Perry,5,11.92857143,0.972,Off Screen,0.111,0.875,0.333
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,10,Juwan_Perry,5,11.92857143,0.972,Hand Off,0.014,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,10,Juwan_Perry,5,11.92857143,0.972,Isolation,0.014,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,9,Jaylen_Fordham,6.52,18.48,0.792,P&R Ball Handler,0.079,0.529,0.286
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,9,Jaylen_Fordham,6.52,18.48,0.792,Miscellaneous,0.088,0.316,0.5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,9,Jaylen_Fordham,6.52,18.48,0.792,Transition,0.185,0.65,0.267
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,9,Jaylen_Fordham,6.52,18.48,0.792,Isolation,0.083,0.333,0.273
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,9,Jaylen_Fordham,6.52,18.48,0.792,Cut,0.014,0.333,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,9,Jaylen_Fordham,6.52,18.48,0.792,Hand Off,0.028,0.667,0.333
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,7,Dylan_Bennett,2.947368421,14.84210526,0.908,P&R Ball Handler,0.031,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,7,Dylan_Bennett,2.947368421,14.84210526,0.908,Miscellaneous,0.062,0.25,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,7,Dylan_Bennett,2.947368421,14.84210526,0.908,Off Screen,0.123,0.75,0.286
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,7,Dylan_Bennett,2.947368421,14.84210526,0.908,Transition,0.108,0.857,0.333
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,6,Corey_Wheeler,13.13636364,23.63636364,0.964,Off Screen,0.036,0.636,0.273
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,6,Corey_Wheeler,13.13636364,23.63636364,0.964,Post-Up,0.088,0.852,0.389
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,6,Corey_Wheeler,13.13636364,23.63636364,0.964,Hand Off,0.036,0.455,0.167
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,6,Corey_Wheeler,13.13636364,23.63636364,0.964,Spot Up,0.308,0.926,0.397
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,6,Corey_Wheeler,13.13636364,23.63636364,0.964,Miscellaneous,0.058,0.5,0.5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,6,Corey_Wheeler,13.13636364,23.63636364,0.964,P&R Roll Man,0.006,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,6,Corey_Wheeler,13.13636364,23.63636364,0.964,Isolation,0.084,0.692,0.381
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,5,Caden_Ebeling,5.48,14.84,0.792,Spot Up,0.186,0.412,0.161
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,5,Caden_Ebeling,5.48,14.84,0.792,Isolation,0.005,0,
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,5,Caden_Ebeling,5.48,14.84,0.792,Post-Up,0.355,0.754,0.388
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,5,Caden_Ebeling,5.48,14.84,0.792,Off Screen,0.011,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,5,Caden_Ebeling,5.48,14.84,0.792,Miscellaneous,0.049,0.667,0.5
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,5,Caden_Ebeling,5.48,14.84,0.792,P&R Roll Man,0.049,0.333,0.125
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,4,Austin_Thompson,0.4,2.6,0.667,Miscellaneous,0.333,0,
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,4,Austin_Thompson,0.4,2.6,0.667,Spot Up,0.333,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,3,Arshawn_Parker,4.777777778,10.66666667,0.905,Hand Off,0.021,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,3,Arshawn_Parker,4.777777778,10.66666667,0.905,Miscellaneous,0.063,0.333,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,3,Arshawn_Parker,4.777777778,10.66666667,0.905,P&R Ball Handler,0.189,0.778,0.385
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,3,Arshawn_Parker,4.777777778,10.66666667,0.905,Offensive Rebounds (put backs),0.011,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,3,Arshawn_Parker,4.777777778,10.66666667,0.905,Off Screen,0.074,0.857,0.4
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,2,Aquavius_Burks,5.869565217,17.34782609,0.772,Miscellaneous,0.114,0.048,
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,2,Aquavius_Burks,5.869565217,17.34782609,0.772,P&R Roll Man,0.043,0,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,2,Aquavius_Burks,5.869565217,17.34782609,0.772,Off Screen,0.011,0.5,0
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,2,Aquavius_Burks,5.869565217,17.34782609,0.772,Post-Up,0.179,0.758,0.375
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,1,Adam_Davis,3,11.61111111,0.841,P&R Roll Man,0.058,0.75,0.25
Albion,23,90.30434783,86.52173913,1.096140749,1.040381498,Offensive,Weakness,1,Adam_Davis,3,11.61111111,0.841,Miscellaneous,0.101,0.571,
