Format,Type,team_name,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Defensive,Weakness,MSOE,158,Josh_Herzog,1.4,5.2,0.955,Spot Up,0.409,1.222,0.375
Defensive,Weakness,MSOE,158,Josh_Herzog,1.4,5.2,0.955,Post-Up,0.045,2,1
Defensive,Weakness,MoodyBible,143,Joseph_Shidler,2.75,7.5,1.8,Off Screen,0.1,3,1
Defensive,Weakness,MoodyBible,143,Joseph_Shidler,2.75,7.5,1.8,Post-Up,0.1,2,1
Defensive,Weakness,MoodyBible,143,Joseph_Shidler,2.75,7.5,1.8,P&R Roll Man,0.1,3,1
Defensive,Weakness,CornellCollege,62,Jordan_Venters,3,3.2,1.8,Hand Off,0.2,2,1
Defensive,Weakness,Carthage,26,Jordan_Vedder,2.583333333,8.583333333,1.435,Post-Up,0.174,1.5,0.75
Defensive,Weakness,Carthage,26,Jordan_Vedder,2.583333333,8.583333333,1.435,Isolation,0.13,2.333,1
Defensive,Weakness,Carthage,26,Jordan_Vedder,2.583333333,8.583333333,1.435,Off Screen,0.174,2.25,1
Defensive,Weakness,Carthage,25,Jordan_Thomas,17.75,33.91666667,0.919,Spot Up,0.324,1.045,0.405
Defensive,Weakness,Carthage,25,Jordan_Thomas,17.75,33.91666667,0.919,Off Screen,0.096,1.308,0.5
Defensive,Weakness,Carthage,25,Jordan_Thomas,17.75,33.91666667,0.919,Post-Up,0.059,1.25,0.5
Defensive,Weakness,Carthage,25,Jordan_Thomas,17.75,33.91666667,0.919,P&R Roll Man,0.022,1.333,0.667
Defensive,Weakness,Roosevelt,174,Jordan_Radcliff,2.5,7.75,0.684,Spot Up,0.526,0.7,0.286
Defensive,Weakness,Roosevelt,174,Jordan_Radcliff,2.5,7.75,0.684,P&R Ball Handler,0.211,1,0.333
Defensive,Weakness,Kalamazoo,223,Jordan_Currie,1.875,13.625,0.591,Off Screen,0.076,1,0.4
Defensive,Weakness,Kalamazoo,223,Jordan_Currie,1.875,13.625,0.591,Hand Off,0.045,1.333,0.667
Defensive,Weakness,Kalamazoo,223,Jordan_Currie,1.875,13.625,0.591,Spot Up,0.621,0.61,0.222
Defensive,Weakness,Kalamazoo,223,Jordan_Currie,1.875,13.625,0.591,Post-Up,0.091,0.833,0
Defensive,Weakness,Chicago,40,Jordan_Baum,7.4,30.08,0.884,P&R Roll Man,0.004,2,1
Defensive,Weakness,Chicago,40,Jordan_Baum,7.4,30.08,0.884,Spot Up,0.324,1.037,0.411
Defensive,Weakness,Chicago,40,Jordan_Baum,7.4,30.08,0.884,Hand Off,0.084,1.048,0.471
Defensive,Weakness,Chicago,40,Jordan_Baum,7.4,30.08,0.884,Isolation,0.056,1.286,0.818
Defensive,Weakness,Chicago,40,Jordan_Baum,7.4,30.08,0.884,Off Screen,0.084,1.048,0.429
Defensive,Weakness,DominicanIL,76,Jonny_Woolf,14.69565217,28.43478261,0.76,P&R Ball Handler,0.209,0.927,0.552
Defensive,Weakness,DominicanIL,76,Jonny_Woolf,14.69565217,28.43478261,0.76,Off Screen,0.128,0.92,0.474
Defensive,Weakness,DominicanIL,76,Jonny_Woolf,14.69565217,28.43478261,0.76,Hand Off,0.061,1.333,0.545
Defensive,Weakness,MoodyBible,142,Jonathan_Raub,4.75,13.75,1,Post-Up,0.583,1.143,0.667
