Team_Cumulative_ID,Team_ID,Player_ID,GP,Min,SST,SSTexPts ,Pts , Ast ,Turnover,Ast_To_Ratio,Stl,  StlPos ,  Blk,  TtlReb ,  OffReb ,  DefReb,Field_Goals_Attempt,Field_Goals_Made,Field_Goals_Missed,Field_Goal_Percentage,Adjusted_Field_Goal_Percentage,Two_Field_Goals_Attempt,Two_Field_Goals_Made,Two_Field_Goals_Missed,Two_Field_Goal_Percentage,Three_Field_Goals_Attempt,Three_Field_Goals_Made,Three_Field_Goals_Missed,Three_Field_Goal_Percentage,Free_Throw_Attempts,Free_Throw_Made,Free_Throw_Missed,Free_Throw_Percentage,And_One,Personal_Fouls_Taken,Total_Personal_Fouls_Commited
446,25,394,18,110,0.76,0.35,38,9,14,0.64,15,10,1,14,3,11,35,19,16,0.543,0.543,33,19,14,0.576,2,0,2,0,0,0,0,-,0,1,14
447,25,402,29,959,1.09,0.26,467,39,59,0.66,14,21,7,206,39,167,348,168,180,0.483,0.556,200,117,83,0.585,148,51,97,0.345,110,80,30,0.727,15,80,81
448,25,401,29,982,1.11,0.51,333,153,35,4.37,36,14,11,139,29,110,245,125,120,0.51,0.551,193,105,88,0.544,52,20,32,0.385,82,63,19,0.768,8,58,41
449,25,404,22,213,0.47,0.15,54,3,9,0.33,3,4,1,26,9,17,66,17,49,0.258,0.341,22,6,16,0.273,44,11,33,0.25,12,9,3,0.75,0,7,13
450,25,398,15,67,0.29,0.24,11,3,4,0.75,1,1,0,12,4,8,21,5,16,0.238,0.262,11,4,7,0.364,10,1,9,0.1,0,0,0,-,0,1,7
451,25,400,29,978,1.49,0.41,603,93,77,1.21,52,34,7,211,40,171,458,232,226,0.506,0.537,343,204,139,0.595,115,28,87,0.243,150,111,39,0.74,14,120,85
452,25,393,21,86,0.36,0.16,15,4,7,0.57,2,3,2,10,2,8,15,5,10,0.333,0.467,1,1,0,1,14,4,10,0.286,3,1,2,0.333,0,2,9
453,25,390,4,40,0.99,0.48,11,3,0,-,2,0,0,7,2,5,9,3,6,0.333,0.444,3,1,2,0.333,6,2,4,0.333,4,3,1,0.75,0,2,6
454,25,392,3,4,3.13,1,2,1,0,-,0,0,0,2,0,2,0,0,0,-,-,0,0,0,-,0,0,0,-,3,2,1,0.667,0,2,0
455,25,391,6,26,0.29,0,8,0,1,0,1,1,0,0,0,0,9,3,6,0.333,0.444,1,1,0,1,8,2,6,0.25,0,0,0,-,0,0,1
456,25,406,9,123,1.14,0.43,57,6,6,1,11,3,2,20,7,13,45,21,24,0.467,0.533,29,15,14,0.517,16,6,10,0.375,19,9,10,0.474,1,14,18
457,25,408,29,937,1.17,0.34,420,60,25,2.4,25,6,9,140,42,98,284,132,152,0.465,0.584,117,64,53,0.547,167,68,99,0.407,111,88,23,0.793,6,72,56
458,25,405,29,569,0.65,0.15,182,21,27,0.78,18,14,1,54,8,46,154,59,95,0.383,0.506,37,21,16,0.568,117,38,79,0.325,32,26,6,0.812,1,18,62
459,25,396,9,29,0.49,0.48,4,1,3,0.33,1,1,0,10,6,4,7,2,5,0.286,0.286,7,2,5,0.286,0,0,0,-,2,0,2,0,0,2,9
460,25,397,11,28,0.27,0.11,6,0,2,0,0,0,0,5,2,3,8,2,6,0.25,0.375,0,0,0,-,8,2,6,0.25,0,0,0,-,0,1,3
461,25,403,14,41,1.11,0.39,14,4,2,2,0,1,1,7,3,4,11,4,7,0.364,0.364,9,4,5,0.444,2,0,2,0,12,6,6,0.5,0,6,3
462,25,407,21,140,0.58,0.29,30,2,14,0.14,1,5,6,40,10,30,28,13,15,0.464,0.464,28,13,15,0.464,0,0,0,-,9,4,5,0.444,3,10,30
464,25,395,17,124,0.72,0.34,38,8,5,1.6,2,3,5,16,6,10,38,13,25,0.342,0.461,9,4,5,0.444,29,9,20,0.31,4,3,1,0.75,0,2,14
465,25,399,26,382,0.57,0.19,112,7,19,0.37,12,7,6,53,8,45,107,42,65,0.392,0.467,58,26,32,0.448,49,16,33,0.326,25,12,13,0.48,3,23,64
468,26,415,9,14,0.45,-0.07,5,0,3,0,1,3,0,3,0,3,6,2,4,0.333,0.333,6,2,4,0.333,0,0,0,-,1,1,0,1,1,1,0
469,26,414,20,87,0.98,0.26,35,7,12,0.58,5,5,1,15,6,9,31,12,19,0.387,0.419,23,10,13,0.435,8,2,6,0.25,13,9,4,0.692,4,13,13
470,26,410,2,11,0.33,0.27,2,2,1,2,0,0,0,1,0,1,4,1,3,0.25,0.25,2,1,1,0.5,2,0,2,0,0,0,0,-,0,0,1
471,26,420,14,107,0.92,0.48,30,14,4,3.5,3,2,2,16,5,11,33,9,24,0.273,0.348,14,4,10,0.286,19,5,14,0.263,8,7,1,0.875,0,6,11
472,26,427,26,714,0.95,0.33,320,20,45,0.44,19,20,8,172,63,109,296,133,163,0.449,0.486,235,111,124,0.472,61,22,39,0.361,50,32,18,0.64,9,53,66
473,26,412,24,664,1.07,0.23,355,44,33,1.33,7,24,3,102,12,90,320,124,196,0.388,0.466,167,74,93,0.443,153,50,103,0.327,67,57,10,0.851,5,56,41
474,26,424,26,819,1.17,0.41,390,103,31,3.32,39,20,2,86,24,62,305,151,154,0.495,0.554,216,115,101,0.532,89,36,53,0.404,68,52,16,0.765,7,68,50
475,26,416,9,26,0.57,0.65,4,3,0,-,3,0,0,5,0,5,11,2,9,0.182,0.182,5,2,3,0.4,6,0,6,0,1,0,1,0,0,1,4
476,26,521,1,24,1.69,0.13,23,1,5,0.2,1,0,1,6,1,5,15,10,5,0.667,0.7,12,9,3,0.75,3,1,2,0.333,2,2,0,1,0,0,4
587,31,521,26,646,1.42,0.43,424,39,80,0.49,27,32,27,198,55,143,369,180,189,0.488,0.499,333,172,161,0.516,36,8,28,0.222,85,56,29,0.659,16,71,70
477,26,423,4,11,-0.26,-0.09,3,0,1,0,0,1,0,1,0,1,9,1,8,0.111,0.167,1,0,1,0,8,1,7,0.125,0,0,0,-,0,0,0
478,26,422,11,33,0.83,0.48,9,3,2,1.5,1,2,0,7,5,2,7,4,3,0.571,0.643,5,3,2,0.6,2,1,1,0.5,0,0,0,-,0,1,3
479,26,429,26,694,0.99,0.43,267,71,35,2.03,32,21,16,102,26,76,236,95,141,0.402,0.496,118,51,67,0.432,118,44,74,0.373,44,33,11,0.75,7,45,70
480,26,418,23,399,0.9,0.32,152,17,12,1.42,12,10,6,68,15,53,122,56,66,0.459,0.545,59,35,24,0.593,63,21,42,0.333,31,19,12,0.613,4,25,51
481,26,421,22,518,1.16,0.44,224,35,43,0.81,21,19,21,132,27,105,174,84,90,0.483,0.534,117,66,51,0.564,57,18,39,0.316,53,38,15,0.717,6,44,59
482,26,428,25,283,0.52,0.2,74,8,17,0.47,10,12,2,33,17,16,76,27,49,0.355,0.447,27,13,14,0.482,49,14,35,0.286,7,6,1,0.857,0,7,12
483,26,426,11,21,0.89,0.62,6,0,0,-,0,0,1,9,2,7,7,3,4,0.429,0.429,7,3,4,0.429,0,0,0,-,0,0,0,-,0,1,6
484,26,413,4,13,0.71,0.38,5,0,2,0,1,0,0,4,3,1,6,2,4,0.333,0.417,4,1,3,0.25,2,1,1,0.5,0,0,0,-,0,1,5
485,26,411,15,78,0.86,0.36,28,1,10,0.1,0,2,5,28,8,20,24,13,11,0.542,0.542,24,13,11,0.542,0,0,0,-,3,2,1,0.667,1,3,15
486,26,417,26,580,0.93,0.46,187,27,18,1.5,20,9,21,131,38,93,168,67,101,0.399,0.479,87,40,47,0.46,81,27,54,0.333,41,26,15,0.634,5,27,64
487,26,419,14,46,0.43,0.37,2,0,0,-,0,0,3,9,2,7,8,0,8,0,0,1,0,1,0,7,0,7,0,2,2,0,1,0,1,4
