"team_name","player_name","gp"
"Rose-Hulman","Trey_Sykes",20
"GustavusAdolphus","Austin_Goetz",24
"GustavusAdolphus","Brandon_Snoberger",19
"GustavusAdolphus","Charlie_Krambeer",19
"GustavusAdolphus","CJ_Woda",21
"GustavusAdolphus","Jason_Faul",24
"GustavusAdolphus","Kelsey_Thomas",23
"GustavusAdolphus","Peter_Lundquist",13
"GustavusAdolphus","Riley_Sharbono",24
"GustavusAdolphus","Sam_DuBois",17
"GustavusAdolphus","Schuyler_Thompson",16
"GustavusAdolphus","Spencer_Tollefson",24
"GustavusAdolphus","Vannis_Smith",24
"GustavusAdolphus","Zach_Bloemker",21
"IllinoisTech","Anthony_Mosley",15
"IllinoisTech","Brett_Ott",10
"IllinoisTech","Brinden_Carlson",5
"IllinoisTech","Calvin_Schmitz",18
"IllinoisTech","Capriest_Gardner",17
"IllinoisTech","Jake_Digiorgio",19
"IllinoisTech","Jake_Bruns",19
"IllinoisTech","Kohl_Linder",19
"IllinoisTech","Malik_Howze",16
"IllinoisTech","Max_Hisatake",19
"IllinoisTech","Parker_Joncus",19
"IllinoisTech","Quentin_Forberg",12
